#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 217  6.1  7.2  3.03 11.43  6.93 999 1021.8 999.0  12.1 999.0 99.0 99.00
2007 01 01 01 00 211  6.1  7.1  2.78 11.43  6.68 999 1021.8 999.0  12.1 999.0 99.0 99.00
2007 01 01 02 00 212  6.4  7.4  2.53 12.12  6.51 999 1022.1 999.0  12.0 999.0 99.0 99.00
2007 01 01 03 00 201  6.6  7.9  2.62 11.43  7.01 999 1022.3 999.0  12.0 999.0 99.0 99.00
2007 01 01 04 00 212  7.7  9.1  2.18 11.43  6.31 999 1022.7 999.0  12.0 999.0 99.0 99.00
2007 01 01 05 00 216  8.4 10.1  2.72 12.12  7.12 999 1022.7 999.0  12.0 999.0 99.0 99.00
2007 01 01 06 00 219  7.7  9.0  2.51 12.90  6.40 999 1023.3 999.0  12.0 999.0 99.0 99.00
2007 01 01 07 00 209  7.4  9.3  2.63 12.90  6.76 999 1023.5 999.0  12.0 999.0 99.0 99.00
2007 01 01 08 00 222  7.4  9.3  2.53 12.12  6.74 999 1023.8 999.0  12.0 999.0 99.0 99.00
2007 01 01 09 00 231  7.0  8.6  2.36 12.12  6.56 999 1023.7 999.0  12.0 999.0 99.0 99.00
2007 01 01 10 00 233  6.6  8.0  2.29 11.43  6.44 999 1023.7 999.0  12.0 999.0 99.0 99.00
2007 01 01 11 00 230  6.1  7.3  2.54 10.81  6.83 999 1024.7 999.0  12.0 999.0 99.0 99.00
2007 01 01 12 00 211  5.0  5.9  2.44 12.12  6.78 999 1024.6 999.0  12.0 999.0 99.0 99.00
2007 01 01 13 00 218  6.4  8.0  2.43 10.81  6.85 999 1024.2 999.0  12.0 999.0 99.0 99.00
2007 01 01 14 00 220  6.7  8.1  2.52 11.43  6.88 999 1023.9 999.0  12.0 999.0 99.0 99.00
2007 01 01 15 00 221  9.3 11.1  2.58 11.43  6.55 999 1023.7 999.0  12.0 999.0 99.0 99.00
2007 01 01 16 00 223  9.1 11.5  3.07 10.81  6.96 999 1023.5 999.0  12.0 999.0 99.0 99.00
2007 01 01 17 00 224  9.6 11.6  2.91 10.00  6.46 999 1023.3 999.0  12.0 999.0 99.0 99.00
2007 01 01 18 00 218 10.4 11.9  3.27 10.81  6.71 999 1023.3 999.0  12.0 999.0 99.0 99.00
2007 01 01 19 00 215 10.7 13.0  3.26 10.81  6.32 999 1023.2 999.0  12.0 999.0 99.0 99.00
2007 01 01 20 00 226 11.4 14.4  3.22 12.12  6.34 999 1023.2 999.0  12.1 999.0 99.0 99.00
2007 01 01 21 00 222 10.0 12.0  3.04 12.12  6.23 999 1022.1 999.0  12.1 999.0 99.0 99.00
2007 01 01 22 00 226 10.3 12.9  3.05 12.12  6.29 999 1022.1 999.0  12.1 999.0 99.0 99.00
2007 01 01 23 00 222 10.4 12.7  3.15 12.12  6.67 999 1021.8 999.0  12.1 999.0 99.0 99.00
2007 01 02 00 00 223 10.0 12.3  3.00 12.12  6.36 999 1021.7 999.0  12.1 999.0 99.0 99.00
2007 01 02 01 00 216 10.6 12.7  3.23 12.12  6.58 999 1020.9 999.0  12.1 999.0 99.0 99.00
2007 01 02 02 00 222 10.4 12.8  3.41 12.12  7.05 999 1020.7 999.0  12.0 999.0 99.0 99.00
2007 01 02 03 00 222 10.2 11.9  3.60 12.12  7.09 999 1020.6 999.0  12.0 999.0 99.0 99.00
2007 01 02 04 00 217 10.0 12.3  3.86 11.43  7.21 999 1020.3 999.0  12.0 999.0 99.0 99.00
2007 01 02 05 00 217 10.0 12.4  3.86 12.90  7.06 999 1020.1 999.0  12.0 999.0 99.0 99.00
2007 01 02 06 00 216 10.5 12.6  3.91 11.43  7.10 999 1019.9 999.0  12.0 999.0 99.0 99.00
2007 01 02 07 00 216 10.4 12.4  4.18 12.12  7.44 999 1019.6 999.0  12.0 999.0 99.0 99.00
2007 01 02 08 00 213 11.3 13.3  4.61 12.12  7.56 999 1019.3 999.0  12.0 999.0 99.0 99.00
2007 01 02 09 00 209 12.1 14.9  4.11 12.12  7.19 999 1018.2 999.0  12.1 999.0 99.0 99.00
2007 01 02 10 00 214 11.5 13.8  4.22 11.43  7.27 999 1017.4 999.0  12.1 999.0 99.0 99.00
2007 01 02 11 00 218 11.5 13.7  4.42 12.90  7.29 999 1017.4 999.0  12.0 999.0 99.0 99.00
2007 01 02 12 00 221 12.0 14.0  3.99 12.12  6.79 999 1017.0 999.0  12.0 999.0 99.0 99.00
2007 01 02 13 00 218 12.1 15.6  4.02 12.90  6.71 999 1016.1 999.0  12.0 999.0 99.0 99.00
2007 01 02 14 00 221 12.7 15.3  4.15 12.12  6.95 999 1015.9 999.0  12.0 999.0 99.0 99.00
2007 01 02 15 00 223 12.1 14.5  4.07 12.12  6.89 999 1015.5 999.0  12.0 999.0 99.0 99.00
2007 01 02 16 00 229 12.0 14.8  4.19 12.12  7.11 999 1015.6 999.0  12.0 999.0 99.0 99.00
2007 01 02 17 00 227 11.8 14.2  4.23 11.43  7.21 999 1015.2 999.0  12.0 999.0 99.0 99.00
2007 01 02 18 00 222 11.6 13.7  4.17 10.81  7.25 999 1014.9 999.0  12.1 999.0 99.0 99.00
2007 01 02 19 00 225 10.4 13.0  4.42 12.12  7.46 999 1015.8 999.0  12.1 999.0 99.0 99.00
2007 01 02 20 00 236 10.7 12.4  4.31 11.43  7.56 999 1015.8 999.0  12.1 999.0 99.0 99.00
2007 01 02 21 00 247  8.1  9.9  4.59 12.90  7.76 999 1015.1 999.0  12.1 999.0 99.0 99.00
2007 01 02 22 00 250  7.5  9.4  4.61 11.43  8.15 999 1014.3 999.0  12.1 999.0 99.0 99.00
2007 01 02 23 00 248  5.8  7.2  5.31 12.90  8.50 999 1013.9 999.0  12.1 999.0 99.0 99.00
2007 01 03 00 00 248  5.5  7.1  4.63 12.90  8.29 999 1014.1 999.0  12.1 999.0 99.0 99.00
2007 01 03 01 00 253  4.7  6.7  5.33 12.90  9.14 999 1013.7 999.0  12.1 999.0 99.0 99.00
2007 01 03 02 00 263  4.9  6.9  4.62 12.12  8.80 999 1013.6 999.0  12.1 999.0 99.0 99.00
2007 01 03 03 00 235  2.7  3.8  4.57 12.12  8.47 999 1012.7 999.0  12.0 999.0 99.0 99.00
2007 01 03 04 00 213  3.7  4.8  4.80 14.81  8.85 999 1012.1 999.0  12.0 999.0 99.0 99.00
2007 01 03 05 00 217  3.6  4.7  4.21 12.90  8.55 999 1011.1 999.0  12.0 999.0 99.0 99.00
2007 01 03 06 00 204  4.3  5.2  4.18 13.79  8.51 999 1010.7 999.0  12.0 999.0 99.0 99.00
2007 01 03 07 00 310  4.0  5.2  3.83 12.12  8.39 999 1009.9  11.2  12.0 999.0 99.0 99.00
2007 01 03 08 00 297  5.0  6.4  3.42 12.90  8.22 999 1009.8  11.2  12.0 999.0 99.0 99.00
2007 01 03 09 00 295  6.0  8.0  3.95 13.79  9.13 999 1009.6  11.2  12.0 999.0 99.0 99.00
2007 01 03 10 00 272  5.6  7.2  3.83 13.79  8.59 999 1009.6  11.4  12.0 999.0 99.0 99.00
2007 01 03 11 00 261  7.3  9.8  3.95 13.79  8.58 999 1010.1  11.5  12.0 999.0 99.0 99.00
2007 01 03 12 00 256  8.5 10.7  3.79 13.79  8.42 999 1010.4  11.6  12.0 999.0 99.0 99.00
2007 01 03 13 00 286  8.7 11.3  3.71 13.79  8.22 999 1010.6  10.4  12.0 999.0 99.0 99.00
2007 01 03 14 00 285  8.1  9.9  3.66 12.90  7.97 999 1010.9  10.8  12.0 999.0 99.0 99.00
2007 01 03 15 00 281  8.1 10.1  3.80 12.90  8.02 999 1011.4  10.6  12.0 999.0 99.0 99.00
2007 01 03 16 00 266  7.8  9.8  3.58 12.90  7.81 999 1011.6  10.7  12.0 999.0 99.0 99.00
2007 01 03 17 00 265  8.9 11.3  4.05 12.90  8.00 999 1012.3  11.1  12.0 999.0 99.0 99.00
2007 01 03 18 00 276  9.5 12.0  4.50 12.12  8.67 999 1013.2  11.7  12.0 999.0 99.0 99.00
2007 01 03 19 00 278  8.6 10.6  4.31 12.12  8.32 999 1014.0  11.7  12.0 999.0 99.0 99.00
2007 01 03 20 00 277  8.3 10.2  4.03 12.90  7.83 999 1014.1  11.7  12.0 999.0 99.0 99.00
2007 01 03 21 00 283  8.8 11.3  4.00 12.90  7.94 999 1014.1  11.6  12.0 999.0 99.0 99.00
2007 01 03 22 00 277  8.9 10.5  3.72 12.90  7.62 999 1014.2  11.5  12.0 999.0 99.0 99.00
2007 01 03 23 00 276  8.9 10.5  3.92 12.90  7.69 999 1014.5  11.4  12.0 999.0 99.0 99.00
2007 01 04 00 00 270  8.0 10.1  3.84 16.00  7.71 999 1015.4   9.9  12.0 999.0 99.0 99.00
2007 01 04 01 00 271 10.7 14.5  3.79 14.81  7.57 999 1015.7  11.2  12.0 999.0 99.0 99.00
2007 01 04 02 00 280  9.9 12.9  4.03 17.39  7.92 999 1016.2  10.6  12.0 999.0 99.0 99.00
2007 01 04 03 00 284 10.7 13.0  3.78 16.00  7.47 999 1016.5  10.5  12.0 999.0 99.0 99.00
2007 01 04 04 00 287  9.6 11.6  3.82 16.00  7.54 999 1017.2  10.0  12.0 999.0 99.0 99.00
2007 01 04 05 00 277 11.2 13.7  3.89 14.81  7.57 999 1017.5  10.3  12.0 999.0 99.0 99.00
2007 01 04 06 00 300 11.5 14.0  4.55 16.00  8.07 999 1018.2   9.6  12.0 999.0 99.0 99.00
2007 01 04 07 00 300 10.1 12.9  4.31 13.79  7.71 999 1018.7   9.6  12.0 999.0 99.0 99.00
2007 01 04 08 00 297 11.6 15.2  4.77 16.00  8.26 999 1019.2   9.4  12.0 999.0 99.0 99.00
2007 01 04 09 00 299 11.8 14.6  4.91 13.79  8.47 999 1019.4   9.5  12.0 999.0 99.0 99.00
2007 01 04 10 00 305 14.8 19.1  5.39 13.79  8.49 999 1020.3   7.9  12.0 999.0 99.0 99.00
2007 01 04 11 00 302 10.5 13.0  5.19 12.90  7.89 999 1021.3   6.8  11.9 999.0 99.0 99.00
2007 01 04 12 00 307 13.7 17.1  5.63 16.00  8.30 999 1022.0   8.4  11.9 999.0 99.0 99.00
2007 01 04 13 00 298 13.1 16.3  5.00 12.12  7.64 999 1022.7   8.1  11.9 999.0 99.0 99.00
2007 01 04 14 00 320 11.0 14.1  5.22 14.81  7.67 999 1023.9   7.5  11.9 999.0 99.0 99.00
2007 01 04 15 00 314 13.0 17.2  4.51  9.09  6.88 999 1024.8   7.8  11.9 999.0 99.0 99.00
