#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 05 26 04 50 208  2.7  5.2 99.00 99.00 99.00 999 1010.4  10.5  11.2 999.0 99.0 99.00
2011 05 26 05 50 188  2.4  4.0 99.00 99.00 99.00 999 1010.4  10.3  11.1 999.0 99.0 99.00
2011 05 26 06 50 207  2.3  5.9 99.00 99.00 99.00 999 1010.1  10.1  10.9 999.0 99.0 99.00
2011 05 26 07 50 180  0.1  0.6 99.00 99.00 99.00 999 1010.6   9.9  10.8 999.0 99.0 99.00
2011 05 26 08 50 181  0.5  1.6 99.00 99.00 99.00 999 1011.1   9.7  10.6 999.0 99.0 99.00
2011 05 26 09 50 149  0.6  1.9 99.00 99.00 99.00 999 1010.9   9.9  10.5 999.0 99.0 99.00
2011 05 26 10 50  87  0.6  1.9 99.00 99.00 99.00 999 1011.7   9.5  10.1 999.0 99.0 99.00
2011 05 26 11 50 282  0.4  1.6 99.00 99.00 99.00 999 1012.1   9.4   9.9 999.0 99.0 99.00
2011 05 26 12 50 277  0.4  1.2 99.00 99.00 99.00 999 1012.4   9.0   9.6 999.0 99.0 99.00
2011 05 26 13 50  87  0.2  0.9 99.00 99.00 99.00 999 1012.7   9.0   9.5 999.0 99.0 99.00
2011 05 26 14 50 311  0.1  0.9 99.00 99.00 99.00 999 1013.0   9.2   9.8 999.0 99.0 99.00
2011 05 26 15 50 303  0.3  1.0 99.00 99.00 99.00 999 1013.1  10.7  10.8 999.0 99.0 99.00
2011 05 26 16 50 162  0.7  2.0 99.00 99.00 99.00 999 1013.0  10.5  12.8 999.0 99.0 99.00
2011 05 26 17 50 190  0.5  1.3 99.00 99.00 99.00 999 1013.1   9.6  12.9 999.0 99.0 99.00
2011 05 26 18 50  83  0.1  0.5 99.00 99.00 99.00 999 1013.2  11.1  13.2 999.0 99.0 99.00
2011 05 26 20 50 257  1.0  2.7 99.00 99.00 99.00 999 1012.5  11.3  14.1 999.0 99.0 99.00
2011 05 26 22 50 268  1.4  3.6 99.00 99.00 99.00 999 1011.7  10.7  14.4 999.0 99.0 99.00
2011 05 27 00 50 274  1.3  3.6 99.00 99.00 99.00 999 1010.3  11.2  12.7 999.0 99.0 99.00
2011 05 27 01 50 261  1.4  3.4 99.00 99.00 99.00 999 1009.5  10.8  12.0 999.0 99.0 99.00
2011 05 27 03 50 193  0.5  1.6 99.00 99.00 99.00 999 1008.7  10.8  11.4 999.0 99.0 99.00
2011 05 27 05 50 184  0.7  2.4 99.00 99.00 99.00 999 1009.1  10.4  10.5 999.0 99.0 99.00
2011 05 27 06 50 157  0.7  1.9 99.00 99.00 99.00 999 1009.0  10.3 999.0 999.0 99.0 99.00
2011 05 27 09 50 139  1.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2011 05 27 12 50 136  1.3  3.6 99.00 99.00 99.00 999 1010.9   8.7   9.3 999.0 99.0 99.00
2011 05 27 16 50 172  1.0 99.0 99.00 99.00 99.00 999 9999.0   9.3 999.0 999.0 99.0 99.00
2011 05 27 18 50 141  0.9  2.2 99.00 99.00 99.00 999 1013.8  11.4  11.5 999.0 99.0 99.00
2011 05 27 20 50 148  0.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2011 05 27 21 50 149  0.7  2.1 99.00 99.00 99.00 999 1015.3  11.0  14.5 999.0 99.0 99.00
